"filename", "language", "Java Server Pages", "Java", "comment", "blank", "total"
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\all_005frating_jsp.class", "Java", 0, 149, 0, 3, 152
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\all_005frating_jsp.java", "Java", 0, 249, 8, 27, 284
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\change_005finfo_jsp.class", "Java", 0, 89, 0, 2, 91
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\change_005finfo_jsp.java", "Java", 0, 194, 9, 34, 237
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\change_005fmbship_005fact_jsp.class", "Java", 0, 85, 0, 2, 87
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\change_005fmbship_005fact_jsp.java", "Java", 0, 191, 9, 34, 234
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\change_005fmbship_jsp.class", "Java", 0, 84, 0, 2, 86
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\change_005fmbship_jsp.java", "Java", 0, 156, 8, 29, 193
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\change_005fmovie_jsp.class", "Java", 0, 163, 0, 2, 165
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\change_005fmovie_jsp.java", "Java", 0, 237, 8, 27, 272
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\change_005fpw_jsp.class", "Java", 0, 78, 0, 2, 80
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\change_005fpw_jsp.java", "Java", 0, 151, 9, 30, 190
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\login_jsp.class", "Java", 0, 79, 0, 2, 81
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\login_jsp.java", "Java", 0, 149, 8, 28, 185
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\logout_jsp.class", "Java", 0, 71, 0, 2, 73
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\logout_jsp.java", "Java", 0, 114, 8, 24, 146
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\main_005fpage_jsp.class", "Java", 0, 269, 0, 2, 271
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\main_005fpage_jsp.java", "Java", 0, 372, 12, 37, 421
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\movieDB_jsp.class", "Java", 0, 100, 0, 3, 103
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\movieDB_jsp.java", "Java", 0, 172, 14, 37, 223
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\movie_005fsearch_jsp.class", "Java", 0, 95, 0, 2, 97
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\movie_005fsearch_jsp.java", "Java", 0, 153, 8, 26, 187
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\rating_jsp.class", "Java", 0, 150, 0, 2, 152
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\rating_jsp.java", "Java", 0, 241, 8, 28, 277
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\sessionLogin_jsp.class", "Java", 0, 64, 0, 2, 66
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\sessionLogin_jsp.java", "Java", 0, 115, 8, 24, 147
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\sign_005fup_jsp.class", "Java", 0, 104, 0, 2, 106
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\sign_005fup_jsp.java", "Java", 0, 220, 10, 40, 270
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\upload_005fmovie_jsp.class", "Java", 0, 138, 0, 2, 140
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\upload_005fmovie_jsp.java", "Java", 0, 213, 8, 27, 248
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\withdraw_jsp.class", "Java", 0, 77, 0, 2, 79
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\ROOT\org\apache\jsp\jsp\withdraw_jsp.java", "Java", 0, 135, 9, 28, 172
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\all_rating.jsp", "Java Server Pages", 125, 0, 0, 13, 138
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\change_info.jsp", "Java Server Pages", 93, 0, 0, 10, 103
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\change_mbship.jsp", "Java Server Pages", 54, 0, 0, 5, 59
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\change_mbship_act.jsp", "Java Server Pages", 90, 0, 0, 10, 100
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\change_movie.jsp", "Java Server Pages", 134, 0, 0, 2, 136
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\change_pw.jsp", "Java Server Pages", 50, 0, 0, 6, 56
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\login.jsp", "Java Server Pages", 47, 0, 0, 5, 52
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\logout.jsp", "Java Server Pages", 16, 0, 0, 1, 17
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\main_page.jsp", "Java Server Pages", 265, 0, 0, 6, 271
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\movieDB.jsp", "Java Server Pages", 75, 0, 0, 14, 89
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\movie_detail.jsp", "Java Server Pages", 172, 0, 0, 7, 179
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\movie_search.jsp", "Java Server Pages", 48, 0, 0, 3, 51
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\rating.jsp", "Java Server Pages", 121, 0, 0, 10, 131
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\sign_up.jsp", "Java Server Pages", 120, 0, 0, 17, 137
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\upload_movie.jsp", "Java Server Pages", 111, 0, 0, 1, 112
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\upload_movie_act.jsp", "Java Server Pages", 88, 0, 0, 9, 97
"c:\Users\ks\Desktop\Database\Term Project\phase4\DB-8team-project\jsp\withdraw.jsp", "Java Server Pages", 34, 0, 0, 4, 38
"Total", "-", 1643, 4857, 144, 637, 7281
